image_path,source_data,image_key,image_id,image_type
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000001.png,breast_udiat,000001,breast_udiat_000001,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000002.png,breast_udiat,000002,breast_udiat_000002,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000003.png,breast_udiat,000003,breast_udiat_000003,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000004.png,breast_udiat,000004,breast_udiat_000004,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000005.png,breast_udiat,000005,breast_udiat_000005,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000006.png,breast_udiat,000006,breast_udiat_000006,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000007.png,breast_udiat,000007,breast_udiat_000007,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000008.png,breast_udiat,000008,breast_udiat_000008,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000009.png,breast_udiat,000009,breast_udiat_000009,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000010.png,breast_udiat,000010,breast_udiat_000010,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000011.png,breast_udiat,000011,breast_udiat_000011,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000012.png,breast_udiat,000012,breast_udiat_000012,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000013.png,breast_udiat,000013,breast_udiat_000013,png
/home/user/data/phyusformer_data/post_miccai_exps/data/US30k/US30K/Breast-UDIAT/img/000014.png,breast_udiat,000014,breast_udiat_000014,png
